barcode,product_name,unit_price,categories,image_urls
11210694002,"Tabasco édes, csípős szósz 315 g",2159.0,etelszosz-martas-164,https://imageproxy.wolt.com/assets/689b78d487a8f04a4a7d87a9
15999033886984,"S-Budget félzsíros, félkemény trappista sajt",3575.0,kemeny-felkemeny-sajtok-35,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/2e55b2d4-954a-11f0-a176-6263117a0bb8_507158006.jpg
15999033890455,SPAR PREMIUM norvég lazacfilé,2199.78,hal-123,https://imageproxy.wolt.com/assets/689b6c2987a8f04a4a7d775c;https://imageproxy.wolt.com/assets/689b6c2a87a8f04a4a7d7760
15999033890462,SPAR PREMIUM lazacpisztráng filé,2389.7,hal-123,https://imageproxy.wolt.com/assets/689b6c2987a8f04a4a7d775b;https://imageproxy.wolt.com/assets/689b6c2a87a8f04a4a7d775f
15999033890486,SPAR PREMIUM aranydurbincs filé,2598.7,hal-123,https://imageproxy.wolt.com/assets/689b6c2887a8f04a4a7d7759;https://imageproxy.wolt.com/assets/689b6c2987a8f04a4a7d775e
15999033890493,SPAR PREMIUM vörös tonhalfilé,4196.5,hal-123,https://imageproxy.wolt.com/assets/689b6c2887a8f04a4a7d7758;https://imageproxy.wolt.com/assets/689b6c2987a8f04a4a7d775d
2000269670059,Patisszon lédig,799.0,tokfelek-22,https://imageproxy.wolt.com/assets/689b69e3f18c6aaa803084f1
2002269960024,Földimogyoró lédig,229.9,magvak-278,https://wolt-menu-images-cdn.wolt.com/menu-images/6630bf2d2af684d052fdff63/a1e3865c-5975-11ef-a637-16959674595e_image__24_.jpg;https://imageproxy.wolt.com/assets/678e0e244b2b7137a212e3c4
2002321340016,Friss hízott libamáj,14249.25,belsosegek-126,https://imageproxy.wolt.com/assets/689b69eef18c6aaa8030850b
2002427820016,Friss hízott liba mell,4499.5,baromfi-119,https://imageproxy.wolt.com/assets/689b69f0f18c6aaa8030850f
2002630970010,REGNUM sertésoldalas tálcás,1640.25,sertes-121,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/f663e2aa-9f9a-11f0-b73d-0212e2b82b9a_263097007.jpg
2003138860018,"SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban",2583.0,sertes-121,https://imageproxy.wolt.com/assets/689b69fbf18c6aaa80308530;https://imageproxy.wolt.com/assets/689b69fcf18c6aaa80308533
2003460630037,S-Budget sertés lapocka csont nélkül tálcás,2033.9,sertes-121,https://imageproxy.wolt.com/assets/689b6a00f18c6aaa8030853f
2003460660034,S-Budget sertés comb csont nélkül tálcás,1949.0,sertes-121,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/fc552b56-9f9a-11f0-b4e6-fa1b1612885a_346066005.jpg
2003556140013,REGNUM sertéscsülök csont nélkül,2308.9,sertes-121,https://imageproxy.wolt.com/assets/689b6a02f18c6aaa80308545
2003556150012,"SPAR BBQ szeletelt sertés tarja, gyorspácolt, csont nélkül, magyaros fűszerezésű olajos marinádban",2435.4,sertes-121,https://imageproxy.wolt.com/assets/689b6a02f18c6aaa80308547;https://imageproxy.wolt.com/assets/689b6a03f18c6aaa80308548
2003572090019,REGNUM natúr marha steak tálcás,2531.1,marha-120,https://imageproxy.wolt.com/assets/689b6a04f18c6aaa8030854d
2003572140011,REGNUM marha gulyáshús tálcás,4023.8,marha-120,https://imageproxy.wolt.com/assets/689b6a04f18c6aaa8030854a
2003572180017,REGNUM szeletelt marhalábszár,1529.32,marha-120,https://imageproxy.wolt.com/assets/689b6a05f18c6aaa8030854f
2003603600019,SPAR BBQ gyros csíkozott sertéshús fűszeres olajos marinádban,1086.4,sertes-121,https://imageproxy.wolt.com/assets/689b6a06f18c6aaa80308552;https://imageproxy.wolt.com/assets/689b6a07f18c6aaa80308553
2003611150018,Édesburgonya lédig,389.7,burgonya-18,https://imageproxy.wolt.com/assets/689b6a08f18c6aaa80308556
2003611170016,Gyömbér lédig,559.8,gyokerzoldsegek-20,https://imageproxy.wolt.com/assets/689b6a08f18c6aaa80308557
2003650030012,S-Budget bogrács csomag,1399.0,sertes-121,https://imageproxy.wolt.com/assets/689b6a09f18c6aaa8030855a
2003785510014,"SPAR BBQ szeletelt mester sertés tarja, csont nélkül, pikáns fűszerezésű olajos marinádban",2509.2,sertes-121,https://imageproxy.wolt.com/assets/689b6a0df18c6aaa80308566;https://imageproxy.wolt.com/assets/689b6a0ef18c6aaa80308569
2003947960015,"SPAR BBQ szeletelt sertés tarja, csont nélkül, fokhagymás fűszerezésű olajos marinádban",2398.5,sertes-121,https://imageproxy.wolt.com/assets/689b6a0df18c6aaa80308568;https://imageproxy.wolt.com/assets/689b6a0ef18c6aaa8030856a
2003963030013,REGNUM sertés pörkölthús tálcás,1668.87,sertes-121,https://imageproxy.wolt.com/assets/689b6a0cf18c6aaa80308564
2004000650010,REGNUM T-Bone steak tálcás,3596.0,marha-120,https://imageproxy.wolt.com/assets/689b6a0ff18c6aaa8030856c
2004000660019,REGNUM Rib-eye steak tálcás,4119.5,marha-120,https://imageproxy.wolt.com/assets/689b6a0ff18c6aaa8030856d
