barcode,product_name,unit_price,categories,image_urls
11210000018,Tabasco csípős chilipaprika szósz 60 ml,1695.0,szoszok-ontetek-6,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309185
1230000131780,"Nerds szőlős-epres cukorka 46,7 g",1009.0,cukorkak-drazsek-182,https://imageproxy.wolt.com/assets/68f77d8f991b63c9b819116f;https://imageproxy.wolt.com/assets/68f77d8f991b63c9b819116e
16229000653,Aroy-D mangó szeletek cukrozott lében 425 g,1589.0,gyumolcskonzerv-befott-211,https://imageproxy.wolt.com/assets/689b786987a8f04a4a7d85ae
3017760524797,"Dörmi tejes krémmel töltött puha piskóta, 30 g",169.0,piskota-181,https://imageproxy.wolt.com/assets/69d93ae260461b960942b825
3017760524896,Dörmi csokoládés krémmel töltött puha piskóta 30 g,169.0,piskota-181,https://imageproxy.wolt.com/assets/6925a1c84da254f4fa175e63
3036810201280,Maille Dijon Mustard 215 g,1274.0,ketchup-mustar-majonez-torma-224,https://imageproxy.wolt.com/assets/667936bd1e3f1c4c3a00b873
3036810204014,Maille Mustard with Honey 230 g,1379.0,ketchup-mustar-majonez-torma-224,https://imageproxy.wolt.com/assets/6679451d8353ae60784d9f35
3036810207589,Maille Whole Seed Mustard 210 g,1274.0,ketchup-mustar-majonez-torma-224,https://imageproxy.wolt.com/assets/689b70899bbcfa1dc39baec1
3038354210803,"Panzani Bolognese paradicsomszósz hússal, ízesítve 425 g",1889.0,paradicsompure-pesto-egyeb-olasz-szoszok-214,https://imageproxy.wolt.com/assets/689b711487a8f04a4a7d784a
3038354251103,"Panzani Olive & Basilico paradicsomszósz olajbogyóval és bazsalikommal, ízesítve 400 g",1259.0,paradicsompure-pesto-egyeb-olasz-szoszok-214,https://imageproxy.wolt.com/assets/689b711487a8f04a4a7d784b
3038354256207,"Panzani Originale paradicsomszósz szezonális paradicsommal, ízesítve 400 g",1259.0,paradicsompure-pesto-egyeb-olasz-szoszok-214,https://imageproxy.wolt.com/assets/689b711587a8f04a4a7d784d
3045200700005,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,1049.0,altalanos-tisztitoszer-273,https://imageproxy.wolt.com/assets/689b791b87a8f04a4a7d88a2
3045206312066,Sanytol fertőtlenítő univerzális tisztítószer grapefruit illattal 500 ml,1049.0,altalanos-tisztitoszer-273,https://imageproxy.wolt.com/assets/689b74d287a8f04a4a7d7dca
3046920010047,Lindt Excellence extra keserű csokoládé 78% 100 g,2834.0,csokolade-175,https://imageproxy.wolt.com/assets/689b6aa9f18c6aaa80308753
3046920022125,Lindt Excellence étcsokoládé ropogós ostya darabokkal és karamell darabokkal 100 g,2309.0,csokolade-175,https://imageproxy.wolt.com/assets/689b6f979bbcfa1dc39bab83
3046920024136,Lindt Excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,2309.0,csokolade-175,https://imageproxy.wolt.com/assets/689bb0cc87a8f04a4a7dd188
3046920029759,Lindt Excellence finom keserű csokoládé 90% 100 g,2834.0,csokolade-175,https://imageproxy.wolt.com/assets/689b6aaaf18c6aaa80308757
3065890154810,"Whiskas teljes értékű nedves eledel felnőtt macskáknak 12 x 85 g (1,02 kg)",3149.0,macskaeledel-323,https://imageproxy.wolt.com/assets/689b6cc8f18c6aaa80308a87;https://imageproxy.wolt.com/assets/689b6cc9f18c6aaa80308a8d
3083680002875,Bonduelle morzsolt csemegekukorica 340 g,839.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/68c2c2d2bd456827e99abce6;https://imageproxy.wolt.com/assets/68c2c2d2bd456827e99abce5
3083680003629,Bonduelle gőzben párolt csicseriborsó 310 g,919.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69930e17960776714feee478;https://imageproxy.wolt.com/assets/69930e17960776714feee477
3083680004244,Bonduelle zöldborsó 400 g,805.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/68c2c2cabd456827e99abcd4;https://imageproxy.wolt.com/assets/68c2c2cabd456827e99abcd3
3083680004275,Bonduelle zöldborsó 800 g,1419.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689bb76687a8f04a4a7de4d7;https://imageproxy.wolt.com/assets/689bb76787a8f04a4a7de4dc
3083680009508,Bonduelle vörösbab 400 g,849.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/68c2c2cdbd456827e99abcdd;https://imageproxy.wolt.com/assets/68c2c2cdbd456827e99abcde
3083680015424,Bonduelle szuperédes és ropogós csemegekukorica 530 g,1154.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689b70ca9bbcfa1dc39baf7d;https://imageproxy.wolt.com/assets/689b70cc9bbcfa1dc39baf82
3083680026154,Bonduelle bébirépa 400 g,814.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689b70cb9bbcfa1dc39baf80;https://imageproxy.wolt.com/assets/689b70cd9bbcfa1dc39baf85
3083680053303,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,944.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/68c2c2cfbd456827e99abce1;https://imageproxy.wolt.com/assets/68c2c2d0bd456827e99abce2
3083680090742,Bonduelle Bon Menu Chili Red Bean in Hot Mexican Sauce 430 g,944.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/667947618cf5dc22349d7efb
3083680466950,Bonduelle zöldborsó 530 g,954.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69ef4214126eb988a8919e57;https://imageproxy.wolt.com/assets/69ef4214126eb988a8919e58
3083680483407,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,944.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/691f0a4606e04050fa7f598c;https://imageproxy.wolt.com/assets/691f0a4606e04050fa7f598b
3083680495882,Bonduelle Bon Menu Mexicana Red Bean with Corn in Mild Mexican Sauce 430 g,944.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/6679476311daf54b0d99a6a7
3083680498012,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,1850.0,savanyusag-222,https://imageproxy.wolt.com/assets/69ef4213126eb988a8919e54;https://imageproxy.wolt.com/assets/69ef4213126eb988a8919e55
3083680510233,Bonduelle vörösbab 800 g,1419.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689bb768f18c6aaa8030d9eb;https://imageproxy.wolt.com/assets/689bb769f18c6aaa8030d9f1
3083680538404,Bonduelle zöldborsó 200 g,529.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69eb4d7acbbf5c0b40d4d5a4;https://imageproxy.wolt.com/assets/69eb4d7acbbf5c0b40d4d5a3
3083680579698,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,1850.0,savanyusag-222,https://imageproxy.wolt.com/assets/69ef4215126eb988a8919e64;https://imageproxy.wolt.com/assets/69ef4215126eb988a8919e61
3083680715409,Bonduelle Créatif Sombrero Vegetable Mix 340 g,1039.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/66794761cd8400238820b695
3083680719025,Bonduelle szeletelt ecetes cékla 540 g,1185.0,savanyusag-222,https://imageproxy.wolt.com/assets/69de80c9ddef9b56faf8ec63;https://imageproxy.wolt.com/assets/69de80c9ddef9b56faf8ec64
3083680996082,Bonduelle Gold szuperédes morzsolt csemegekukorica 2 x 170 g (340 g),1154.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689bb3ec87a8f04a4a7ddbe6;https://imageproxy.wolt.com/assets/689bb3ec87a8f04a4a7ddbeb
3083681003963,Bonduelle gőzben párolt lencse 310 g,904.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69930e16960776714feee476;https://imageproxy.wolt.com/assets/69930e16960776714feee475
3083681021950,Bonduelle Gold szuperédes morzsolt csemegekukorica 170 g,619.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/691f0a4706e04050fa7f598e;https://imageproxy.wolt.com/assets/691f0a4706e04050fa7f598d
3083681024258,Bonduelle Gold szuperédes morzsolt kukorica 670 g,1429.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689bb76687a8f04a4a7de4d8;https://imageproxy.wolt.com/assets/689bb76787a8f04a4a7de4dd
3083681031157,Bonduelle Bon Menu Barbeque vörösbab barbeque mártásban 430 g,944.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689bb768f18c6aaa8030d9ec;https://imageproxy.wolt.com/assets/689bb769f18c6aaa8030d9f0
3083681032413,Bonduelle gőzben párolt egész zöldbab 295 g,904.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69a8263edbcc2d14e2cedc4f;https://imageproxy.wolt.com/assets/69a8263edbcc2d14e2cedc4e
3083681043716,Bonduelle gőzben párolt vörösbab 310 g,914.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69a82640dbcc2d14e2cedc51;https://imageproxy.wolt.com/assets/69a82640dbcc2d14e2cedc50
3083681043815,Bonduelle Gold Chili morzsolt csemegekukorica paprikával és chilivel 310 g,944.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689b6ab8f18c6aaa80308781;https://imageproxy.wolt.com/assets/689b6ab9f18c6aaa80308786
3083681129885,Bonduelle Gold Prémium szuperédes morzsolt csemegekukorica 340 g,1039.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689bb768f18c6aaa8030d9e9;https://imageproxy.wolt.com/assets/689bb768f18c6aaa8030d9ee
3083681129915,Bonduelle Gold Prémium szuperédes kukorica 170 g,694.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69e9fbe328419a6b3196caf8;https://imageproxy.wolt.com/assets/69e9fbe328419a6b3196caf5
3083681139716,"Bonduelle Good Lunch fekete beluga lencse, bulgur, zöldségek és koktélparadicsom keveréke 250 g",1589.0,keszetelek-217,https://imageproxy.wolt.com/assets/6925a1874da254f4fa175dbe;https://imageproxy.wolt.com/assets/6925a1874da254f4fa175dbf
3083681152333,Bonduelle Créatif Mexico kukoricás zöldségkeverék 300 g,1039.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/69e9fbe528419a6b3196cb04;https://imageproxy.wolt.com/assets/69e9fbe528419a6b3196cb03
3083681157888,Bonduelle Créatif Duo zöldborsó-bébirépa keverék 400 g,849.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/68c2c2ccbd456827e99abcdc;https://imageproxy.wolt.com/assets/68c2c2ccbd456827e99abcdb
3083681163155,"Bonduelle Good Lunch vörösbab, rizs, csemegekukorica, grillezett zöldségek keveréke 250 g",1589.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/6925a1874da254f4fa175dc1;https://imageproxy.wolt.com/assets/6925a1874da254f4fa175dc0
3083681181036,"Bonduelle Good Lunch mexikói ízvilág basmati rizs, vörösbab és zöldségek fűszerezett keveréke 250 g",1589.0,keszetelek-217,https://imageproxy.wolt.com/assets/6925a1864da254f4fa175dbd;https://imageproxy.wolt.com/assets/6925a1864da254f4fa175dbc
3563490017882,Reine de Dijon Dijoni mustár 200 g,1009.0,ketchup-mustar-majonez-torma-224,https://imageproxy.wolt.com/assets/689bb4e7f18c6aaa8030d55e
3563490017899,Reine de Dijon Magos mustár 190 g,1009.0,ketchup-mustar-majonez-torma-224,https://imageproxy.wolt.com/assets/689bb4e7f18c6aaa8030d560
3574660412277,Neutrogena Norvég Formula gyorsan beszívódó kézkrém 75 ml,1574.0,kremek-292,https://imageproxy.wolt.com/assets/689bb2da87a8f04a4a7dd841
3574660587524,Johnson's Bedtime babaolaj 200 ml,1784.0,babaapolas-318,https://imageproxy.wolt.com/assets/69e6077db5846925d430dd7e
3574660709216,Carefree Plus Large tisztasági betét aloe vera illattal 48 db,1679.0,intim-higienia-306,https://imageproxy.wolt.com/assets/68d5370235cd665795fd4971
3574661491967,Listerine Advanced White Mild Taste szájvíz 1 l,4440.0,szajapolas-300,https://imageproxy.wolt.com/assets/68d536e735cd665795fd492c
3574661626062,o.b. ExtraProtect Super tampon 16 db,1784.0,intim-higienia-306,https://imageproxy.wolt.com/assets/682b5808d3cf585540f711cb
3574669907712,Johnson's Bedtime 2 az 1-ben babasampon és babatusfürdő 500 ml,1364.0,babaapolas-318,https://imageproxy.wolt.com/assets/69e9fbec28419a6b3196cb20
3600010011361,"ĽOréal Paris Elseve Color Vive balzsam, 200 ml",1629.0,hajbalzsam-302,https://imageproxy.wolt.com/assets/689b774bf18c6aaa80309a7e
3600521706428,"ĽOréal Paris Elseve Total Repair 5 balzsam, 200 ml",1629.0,hajbalzsam-302,https://imageproxy.wolt.com/assets/689b773ff18c6aaa80309a66
3600522895114,ĽOréal Paris Revitalift Laser X3 nappali krém 50 ml,6824.0,kremek-292,https://imageproxy.wolt.com/assets/689bace79bbcfa1dc39be5da
3600523741878,"ĽOréal Paris Elseve Dream long balzsam, 200 ml",1734.0,hajbalzsam-302,https://imageproxy.wolt.com/assets/689b774287a8f04a4a7d81f3
3600524029784,"L´oréal Paris Elseve Hyaluron Plump akár 72 órán át hidratáló balzsam hialuronsavval, 200 ml",1734.0,hajbalzsam-302,https://imageproxy.wolt.com/assets/689c64abdab11e48103786d2
3600524173579,"ĽOréal Paris Elseve Hyaluron Plump sampon utántöltő, 250 ml",1049.0,hajsampon-301,https://imageproxy.wolt.com/assets/689b782787a8f04a4a7d849a
3616305447111,Adidas Chill Zone eau de parfum 50 ml,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd88c
3616305447241,Adidas Get Comfy eau de parfum 50 ml,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd889
3800016701055,"Albatross hámozott, felezett őszibarack cukrozott lében 700 g",1364.0,gyumolcskonzerv-befott-211,https://imageproxy.wolt.com/assets/689b6adff18c6aaa803087f7;https://imageproxy.wolt.com/assets/689b6ae0f18c6aaa803087fb
3800020491560,KitKat ropogós ostya sóskaramellízű krémmel karamellízű tejcsokoládéban és fehér bevonóban 99 g,1049.0,csokolade-175,https://imageproxy.wolt.com/assets/69de1e72af51c9ef77532639
3800205870517,Maretti sült fokhagyma ízesítésű pirított kétszersült karikák 70 g,564.0,ropi-perec-sos-kekszek-190,https://imageproxy.wolt.com/assets/696e245a37fecf84c67b95b2
3800205875109,"Maretti paradicsom, olíva és oregánó ízesítésű pirított kétszersült karikák 70 g",564.0,ropi-perec-sos-kekszek-190,https://imageproxy.wolt.com/assets/689b6c6ef18c6aaa8030894f
